origin_lat,origin_lon,dest_lat,dest_lon,city_name
19.28027,-99.168,19.28843,-99.16667,Tlalpan_Distrito Federal_MEX
21.16217,-86.83727,21.16218,-86.83569,Cancún_Quintana Roo_MEX
19.43439,-99.15793,19.43666,-99.15353,Cuauhtémoc_Distrito Federal_MEX
25.54089,-103.45217,25.53981,-103.45325,Torreón_Coahuila_MEX
25.7578,-100.27191,25.76006,-100.27355,San Nicolás de los Garza_Nuevo León_MEX
19.4173,-98.94765,19.41649,-98.94482,Chimalhuacán_México_MEX
19.54294,-99.23422,19.54397,-99.23506,Atizapán de Zaragoza_México_MEX
24.00404,-104.68126,24.00683,-104.68135,Durango_Durango_MEX
19.4071,-99.10708,19.41986,-99.1125,Venustiano Carranza_Distrito Federal_MEX
20.64057,-103.31652,20.63881,-103.31065,Tlaquepaque_Jalisco_MEX
19.4819,-99.18899,19.48435,-99.18434,Azcapotzalco_Distrito Federal_MEX
19.28036,-99.64878,19.28567,-99.65281,Toluca_México_MEX
19.65809,-99.20918,19.65787,-99.2093,Cuautitlán Izcalli_México_MEX
16.75343,-93.11497,16.75519,-93.11544,Tuxtla Gutiérrez_Chiapas_MEX
25.87408,-97.49984,25.88015,-97.50357,Matamoros_Tamaulipas_MEX
25.8526,-97.50333,25.8532,-97.50447,Heroica Matamoros_Tamaulipas_MEX
19.5259,-96.92381,19.52734,-96.92273,Xalapa_Veracruz_MEX
19.18112,-96.13487,19.19535,-96.13683,Veracruz_Veracruz_MEX
19.39585,-99.09863,19.3966,-99.09734,Iztacalco_Distrito Federal_MEX
26.09486,-98.27281,26.09279,-98.27747,Reynosa_Tamaulipas_MEX
25.76817,-100.1983,25.78205,-100.18895,Apodaca_Nuevo León_MEX
19.52111,-96.918,19.52398,-96.92074,Xalapa de Enríquez_Veracruz_MEX
25.91957,-109.17115,25.91984,-109.17434,Ahome_Sinaloa_MEX
19.26017,-99.10985,19.25803,-99.10848,Xochimilco_Distrito Federal_MEX
19.36806,-99.15846,19.3718,-99.15725,Benito Juárez_Distrito Federal_MEX
19.40395,-99.19078,19.40799,-99.19128,Miguel Hidalgo_Distrito Federal_MEX
21.49959,-104.89946,21.51195,-104.89164,Tepic_Nayarit_MEX
17.9905,-92.92959,17.98962,-92.92745,Centro_Tabasco_MEX
19.28145,-98.94865,19.27877,-98.94393,Valle de Chalco Solidaridad_México_MEX
19.29499,-98.94939,19.29333,-98.94152,Xico_México_MEX
17.99742,-92.90392,17.99864,-92.90197,Villahermosa_Tabasco_MEX
23.20243,-106.42785,23.2,-106.42175,Mazatlán_Sinaloa_MEX
18.92047,-99.23608,18.92264,-99.23501,Cuernavaca_Morelos_MEX
19.27587,-98.94095,19.27546,-98.94509,Xico Centro_México_MEX
20.67346,-101.34643,20.67305,-101.34792,Irapuato_Guanajuato_MEX
20.62494,-103.2463,20.62418,-103.2433,Tonalá_Jalisco_MEX
27.49384,-99.50746,27.49382,-99.50649,Nuevo Laredo_Tamaulipas_MEX
22.22129,-97.85325,22.21363,-97.85731,Tampico_Tamaulipas_MEX
25.80631,-100.31922,25.80848,-100.32285,General Escobedo_Nuevo León_MEX
23.71918,-99.15053,23.73059,-99.15135,Victoria_Tamaulipas_MEX
19.63551,-99.10062,19.64079,-99.09882,San Francisco Coacalco_México_MEX
19.63476,-99.09986,19.62875,-99.1044,Coacalco de Berriozábal_México_MEX
23.73076,-99.15532,23.7311,-99.15389,Ciudad Victoria_Tamaulipas_MEX
20.52106,-100.80897,20.52145,-100.81398,Celaya_Guanajuato_MEX
27.49182,-109.9267,27.49694,-109.93332,Cajeme_Sonora_MEX
19.7115,-98.96881,19.71129,-98.96889,Tecámac_México_MEX
17.07007,-96.72104,17.06173,-96.7261,Oaxaca_Oaxaca_MEX
17.07469,-96.72776,17.07565,-96.72698,Oaxaca de Juárez_Oaxaca_MEX
19.27024,-99.00503,19.27055,-99.00521,Tláhuac_Distrito Federal_MEX
27.4911,-109.93041,27.49285,-109.9354,Ciudad Obregón_Sonora_MEX
19.62774,-99.31356,19.62579,-99.31595,Nicolás Romero_México_MEX
19.31878,-98.89863,19.31649,-98.89632,Ixtapaluca_México_MEX
18.15722,-94.41586,18.14696,-94.41629,Coatzacoalcos_Veracruz_MEX
19.35761,-98.95553,19.35885,-98.95872,La Paz_México_MEX
25.78428,-108.98521,25.79269,-108.98897,Los Mochis_Sinaloa_MEX
20.12072,-98.73621,20.12171,-98.73678,Pachuca de Soto_Hidalgo_MEX
25.6757,-100.46023,25.67492,-100.46139,Santa Catarina_Nuevo León_MEX
19.421,-102.05712,19.42128,-102.06417,Uruapan_Michoacán_MEX
31.86696,-116.60787,31.86407,-116.61454,Ensenada_Baja California_MEX
19.30451,-99.23907,19.30519,-99.24111,La Magdalena Contreras_Distrito Federal_MEX
18.49826,-88.29889,18.49795,-88.30267,Othón P Blanco_Quintana Roo_MEX
19.8454,-90.54131,19.84549,-90.53702,Campeche_Campeche_MEX
19.35508,-98.95879,19.36059,-98.96147,Los Reyes Acaquilpan_México_MEX
25.5766,-103.48278,25.57858,-103.48744,Gómez Palacio_Durango_MEX
20.38855,-99.99683,20.38951,-99.99669,San Juan del Río_Querétaro_MEX
18.46507,-97.398,18.46297,-97.39277,Tehuacán_Puebla_MEX
26.90276,-101.41366,26.90127,-101.41637,Monclova_Coahuila_MEX
31.32796,-110.94477,31.32614,-110.94581,Nogales_Sonora_MEX
31.30435,-110.94571,31.30162,-110.95055,Heroica Nogales_Sonora_MEX
22.24746,-97.83655,22.24639,-97.83722,Ciudad Madero_Tamaulipas_MEX
14.91292,-92.26545,14.91117,-92.2646,Tapachula_Chiapas_MEX
20.52695,-97.4566,20.52709,-97.45917,Poza Rica de Hidalgo_Veracruz_MEX
22.18898,-100.9377,22.188,-100.9359,Soledad de Graciano Sánchez_San Luis Potosí_MEX
19.4181,-98.90282,19.41697,-98.90179,Chicoloapan_México_MEX
19.38266,-98.91449,19.4062,-98.91492,Chicoloapan de Juárez_México_MEX
24.16541,-110.31373,24.16185,-110.31322,La Paz_Baja California Sur_MEX
19.67502,-99.02707,19.67843,-99.03247,Ojo de Agua_México_MEX
19.25141,-99.60377,19.25137,-99.6045,Metepec_México_MEX
18.64332,-91.83842,18.63885,-91.83626,Carmen_Campeche_MEX
18.64765,-91.8035,18.65037,-91.80371,Ciudad del Carmen_Campeche_MEX
21.01261,-101.25139,21.01639,-101.25302,Guanajuato_Guanajuato_MEX
20.60817,-105.23545,20.60842,-105.23526,Puerto Vallarta_Jalisco_MEX
19.64633,-99.16847,19.64716,-99.16915,Tultitlán_México_MEX
19.25597,-98.90864,19.25778,-98.90484,Chalco_México_MEX
19.26852,-98.8978,19.26703,-98.89821,Chalco de Díaz Covarrubias_México_MEX
17.55228,-99.5011,17.55242,-99.50091,Chilpancingo de los Bravo_Guerrero_MEX
18.88462,-99.17051,18.88156,-99.17627,Jiutepec_Morelos_MEX
28.72125,-100.55034,28.72178,-100.56783,Piedras Negras_Coahuila_MEX
20.56473,-101.19061,20.56654,-101.199,Salamanca_Guanajuato_MEX
18.81097,-98.94821,18.81274,-98.95518,Cuautla_Morelos_MEX
18.50373,-88.29644,18.50193,-88.30298,Chetumal_Quintana Roo_MEX
19.43787,-100.35868,19.43658,-100.35728,Zitácuaro_Michoacán_MEX
